This data file provides the observational data behind Figure 7.13
"It was produced by Dan Lunt, using script plot_all_fgd.pro"
Time Period,SST or SAT,longitude [degrees],latitude [degrees],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC]
"LGM","SST",127.500,-12.5000,0.485388,2.45450,0.485388
"LGM","SST",127.500,-7.50000,0.249107,2.85270,0.249107
"LGM","SST",127.500,7.50000,0.345578,3.27363,0.345578
"LGM","SST",127.500,27.5000,0.519909,1.33893,0.519909
"LGM","SST",127.500,32.5000,0.394044,5.11771,0.394044
"LGM","SST",132.500,-7.50000,0.506501,2.45716,0.506501
"LGM","SST",132.500,37.5000,0.717211,-4.75813,0.717211
"LGM","SST",132.500,42.5000,0.732035,-14.0386,0.732035
"LGM","SST",137.500,-37.5000,0.348822,6.82736,0.348822
"LGM","SST",137.500,32.5000,0.695323,1.47452,0.695323
"LGM","SST",137.500,37.5000,0.721521,-2.10013,0.721521
"LGM","SST",142.500,-2.50000,0.731023,2.03620,0.731023
"LGM","SST",142.500,2.50000,0.903283,-0.865606,0.903283
"LGM","SST",142.500,37.5000,0.361506,3.67359,0.361506
"LGM","SST",142.500,42.5000,0.495958,3.23431,0.495958
"LGM","SST",147.500,-47.5000,0.743909,3.37084,0.743909
"LGM","SST",147.500,-12.5000,0.482875,1.56695,0.482875
"LGM","SST",147.500,2.50000,0.718700,0.181381,0.718700
"LGM","SST",147.500,42.5000,0.714002,-0.565921,0.714002
"LGM","SST",147.500,52.5000,0.414261,1.96377,0.414261
"LGM","SST",152.500,47.5000,0.280817,1.38182,0.280817
"LGM","SST",152.500,52.5000,0.748675,3.41903,0.748675
"LGM","SST",157.500,-2.50000,0.494329,2.91377,0.494329
"LGM","SST",157.500,2.50000,0.521207,1.52851,0.521207
"LGM","SST",157.500,32.5000,0.716154,2.47225,0.716154
"LGM","SST",162.500,37.5000,0.734812,4.95070,0.734812
"LGM","SST",167.500,-42.5000,0.760247,4.83671,0.760247
"LGM","SST",167.500,42.5000,0.718373,6.00093,0.718373
"LGM","SST",167.500,52.5000,0.247108,0.714069,0.247108
"LGM","SST",167.500,57.5000,1.28433,-4.06753,1.28433
"LGM","SST",172.500,-47.5000,0.366176,3.61330,0.366176
"LGM","SST",177.500,-47.5000,0.747982,4.15127,0.747982
"LGM","SST",177.500,-42.5000,0.367780,5.76612,0.367780
"LGM","SST",177.500,52.5000,0.695005,2.46513,0.695005
"EECO","SAT",150.860,-68.0700,2.80000,37.9486,2.80000
"EECO","SAT",129.160,-66.3500,1.57665,28.2082,1.58001
"EECO","SAT",-160.070,-54.9000,4.47333,15.6263,4.50666
"EECO","SAT",11.0800,68.8700,4.09998,23.4759,4.10001
"EECO","SAT",121.900,75.2300,4.60001,31.8210,3.10001
"EECO","SAT",-59.7200,-37.2400,2.10001,7.26123,2.09999
"EECO","SAT",-56.4800,-43.0900,3.24286,6.13040,3.35714
"EECO","SAT",-56.5000,-42.7600,2.10001,8.25351,2.10000
"EECO","SAT",-108.020,55.3100,2.00000,5.39511,2.00000
"EECO","SAT",-109.100,54.5300,2.54200,16.1130,2.53801
"EECO","SAT",64.4600,4.38000,2.80002,-1.90240,2.89999
"EECO","SAT",-106.730,55.2300,2.80000,4.24512,2.80000
"EECO","SAT",-108.450,53.2900,2.00000,13.6377,2.00000
"EECO","SAT",-104.820,54.2400,3.54000,7.17496,3.54000
"EECO","SAT",-104.630,54.1100,2.00000,7.51495,2.00000
"EECO","SAT",-90.0100,34.6900,5.50000,16.3934,5.50000
"EECO","SAT",-93.2400,48.9400,6.73332,22.3705,5.80001
"EECO","SAT",-35.2600,78.8900,5.50000,19.4291,5.50000
"EECO","SAT",-94.4000,47.3400,3.96666,11.9800,3.96667
"EECO","SAT",-92.4400,49.4300,5.50000,13.9512,5.50000
"EECO","SAT",-94.0600,41.5000,5.50000,16.9173,5.50000
"EECO","SAT",-90.2600,34.1500,4.50000,12.2934,4.50000
"EECO","SAT",61.7300,-1.28000,0.240021,2.78461,0.250000
"EECO","SAT",-162.580,-56.2400,0.649994,25.6750,0.660004
"EECO","SAT",9.92000,50.0900,0.649994,23.1320,0.650024
"EECO","SAT",-113.540,60.8000,3.60001,9.86386,3.59998
"EECO","SAT",-105.570,56.1900,3.60001,7.46814,3.60001
"EECO","SAT",-107.090,56.7500,3.60001,11.3681,3.59998
"EECO","SAT",-106.650,55.8600,3.60001,17.0951,3.60001
"EECO","SAT",-108.340,44.0400,5.00000,15.4939,5.00000
"EECO","SAT",-108.210,44.8700,5.00000,11.4939,5.00000
"EECO","SAT",-108.940,45.4400,5.00000,9.24860,5.00000
"EECO","SAT",-108.340,45.3700,5.00000,6.94858,5.00000
"EECO","SAT",-108.230,44.8800,5.00000,3.89386,5.00000
