This data file provides the observational data behind Figure 7.13,,,,,,,,,,,
"It was produced by Dan Lunt, using script plot_all_fgd.pro",,,,,,,,,,,
Time Period,SST or SAT,longitude [degrees],latitude [degrees],mean temperature [degreesC],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC],model mean,model aver,model Seb,model Seb+1 lon
LGM,SST,-32.5,57.5,4.11326,0.443833,4.11326,0.443833,3.47365,3.47365,6.973686218,"6.973686218261719,"
LGM,SST,-27.5,37.5,4.89499,0.7421,4.89499,0.7421,3.51424,3.51424,4.83117485,"4.831174850463867,"
LGM,SST,-27.5,42.5,3.3496,0.352285,3.3496,0.352285,4.70692,4.70692, nan,"nan,"
LGM,SST,-27.5,47.5,9.85437,0.388163,9.85437,0.388163,5.67634,5.67634, nan,"nan,"
LGM,SST,-27.5,52.5,10.9754,0.577483,10.9754,0.577483,4.86119,4.86119, nan,"nan,"
LGM,SST,-27.5,57.5,6.44477,0.248429,6.44477,0.248429,3.89628,3.89628,6.973686218,"6.973686218261719,"
LGM,SST,-27.5,62.5,3.05646,0.285946,3.05646,0.285946,3.83806,3.83806,5.497750282,"5.497750282287598,"
LGM,SST,-22.5,-2.5,3.24248,0.490043,3.24248,0.490043,2.93406,2.93406,2.942533493,"2.942533493041992,"
LGM,SST,-22.5,7.5,2.07578,0.330646,2.07578,0.330646,2.96251,2.96251, nan,"nan,"
LGM,SST,-22.5,17.5,3.28639,0.470842,3.28639,0.470842,3.31887,3.31887, nan,"nan,"
LGM,SST,-22.5,42.5,3.73802,0.689687,3.73802,0.689687,4.23661,4.23661, nan,"nan,"
LGM,SST,-22.5,52.5,6.88077,0.184909,6.88077,0.184909,4.73702,4.73702, nan,"nan,"
LGM,SST,-22.5,57.5,4.10946,0.476386,4.10946,0.476386,4.29651,4.29651,6.973686218,"6.973686218261719,"
LGM,SST,-22.5,67.5,1.98623,0.446517,1.98623,0.446517,1.4592,4.30779,4.300013065,"4.300013065338135,"
LGM,SST,-17.5,7.5,3.40862,1.13714,3.40862,1.13714,2.89663,2.89663, nan,"nan,"
LGM,SST,-17.5,17.5,2.68297,0.369475,2.68297,0.369475,2.86091,3.44568, nan,"nan,"
LGM,SST,-17.5,22.5,2.02493,0.257594,2.02493,0.257594,2.22255,3.4088, nan,"nan,"
LGM,SST,-17.5,27.5,5.68132,0.367444,5.68132,0.367444,3.42073,3.42073, nan,"nan,"
LGM,SST,-17.5,52.5,7.10744,0.235714,7.10744,0.235714,4.53878,4.53878, nan,"nan,"
LGM,SST,-17.5,57.5,4.31918,0.637844,4.31918,0.637844,4.33009,4.33009,6.973686218,"6.973686218261719,"
LGM,SST,-17.5,62.5,3.29659,0.612513,3.29659,0.612513,4.9525,4.53585,5.497750282,"5.497750282287598,"
LGM,SST,-17.5,67.5,2.16935,0.360474,2.16935,0.360474,1.62931,1.04973,4.300013065,"4.300013065338135,"
LGM,SST,-17.5,72.5,-1.75985,0.394169,-1.75985,0.394169,0.390208,0.390208,2.720683575,"2.7206835746765137,"
LGM,SST,-12.5,-42.5,1.8504,0.65682,1.8504,0.65682,3.92972,3.92972,3.418059349,"3.4180593490600586,"
LGM,SST,-12.5,-7.5,0.69032,0.726553,0.69032,0.726553,2.91861,2.91861,2.924552917,"2.9245529174804688,"
LGM,SST,-12.5,-2.5,2.33814,0.324317,2.33814,0.324317,3.06068,3.06068,2.942533493,"2.942533493041992,"
LGM,SST,-12.5,2.5,4.66121,1.40412,4.66121,1.40412,2.99462,2.99462,2.934976578,"2.934976577758789,"
LGM,SST,-12.5,32.5,3.991,0.507045,3.991,0.507045,3.8583,3.8583, nan,"nan,"
LGM,SST,-12.5,37.5,3.19226,0.326559,3.19226,0.326559,4.25855,4.25855,4.83117485,"4.831174850463867,"
